Date,Open,High,Low,Close,Adj Close,Volume
2018-04-18,7.447160,7.448020,7.446500,7.447700,7.447700,0
2018-04-19,7.447340,7.447900,7.446520,7.447450,7.447450,0
2018-04-20,7.447190,7.447810,7.446520,7.447250,7.447250,0
2018-04-23,7.447190,7.447900,7.445700,7.447120,7.447120,0
2018-04-24,7.447330,7.448100,7.446940,7.447360,7.447360,0
2018-04-25,7.446510,7.451110,7.445670,7.446400,7.446400,0
2018-04-26,7.449620,7.450800,7.448210,7.449660,7.449660,0
2018-04-27,7.450230,7.450600,7.449270,7.450260,7.450260,0
2018-04-30,7.449790,7.451000,7.449570,7.449790,7.449790,0
2018-05-01,7.449590,7.450600,7.449350,7.450000,7.450000,0
2018-05-02,7.450610,7.451200,7.447860,7.450020,7.450020,0
2018-05-03,7.449000,7.449800,7.448170,7.448920,7.448920,0
2018-05-04,7.449570,7.450210,7.447740,7.449900,7.449900,0
2018-05-07,7.449440,7.450420,7.447550,7.449380,7.449380,0
2018-05-08,7.448010,7.450690,7.447050,7.448070,7.448070,0
2018-05-09,7.448170,7.450410,7.445980,7.448160,7.448160,0
2018-05-10,7.450100,7.450480,7.447870,7.450100,7.450100,0
2018-05-11,7.450300,7.450600,7.448500,7.449830,7.449830,0
2018-05-14,7.449720,7.450500,7.448400,7.449740,7.449740,0
2018-05-15,7.448900,7.449300,7.446720,7.448630,7.448630,0
2018-05-16,7.447790,7.449120,7.447380,7.447770,7.447770,0
2018-05-17,7.446680,7.448610,7.445770,7.446730,7.446730,0
2018-05-18,7.447310,7.448400,7.445660,7.447700,7.447700,0
2018-05-21,7.446160,7.447700,7.445800,7.446500,7.446500,0
2018-05-22,7.446260,7.447800,7.445870,7.446500,7.446500,0
2018-05-23,7.447890,7.450640,7.446570,7.447900,7.447900,0
2018-05-24,7.448750,7.449480,7.447310,7.448820,7.448820,0
2018-05-25,7.448390,7.449000,7.446400,7.448440,7.448440,0
2018-05-28,7.448380,7.448900,7.446280,7.448900,7.448900,0
2018-05-29,7.447400,7.447500,7.440360,7.447140,7.447140,0
2018-05-30,7.441400,7.444550,7.440960,7.441380,7.441380,0
2018-05-31,7.442200,7.444340,7.440150,7.442200,7.442200,0
2018-06-01,7.442060,7.443910,7.440440,7.442700,7.442700,0
2018-06-04,7.443400,7.444480,7.441340,7.443400,7.443400,0
2018-06-05,7.442290,7.442730,7.441220,7.442340,7.442340,0
2018-06-06,7.441960,7.445400,7.441590,7.442460,7.442460,0
2018-06-07,7.445220,7.448750,7.443750,7.445320,7.445320,0
2018-06-08,7.448100,7.448960,7.446650,7.448300,7.448300,0
2018-06-11,7.448280,7.449500,7.447280,7.448700,7.448700,0
2018-06-12,7.449000,7.450600,7.448140,7.449400,7.449400,0
2018-06-13,7.450090,7.450700,7.449060,7.450130,7.450130,0
2018-06-14,7.449690,7.450950,7.448580,7.450000,7.450000,0
2018-06-15,7.450040,7.450700,7.448640,7.450200,7.450200,0
2018-06-18,7.449900,7.452000,7.448410,7.449800,7.449800,0
2018-06-19,7.451320,7.454440,7.450990,7.451290,7.451290,0
2018-06-20,7.453220,7.453800,7.451410,7.452940,7.452940,0
2018-06-21,7.452000,7.453700,7.450480,7.451610,7.451610,0
2018-06-22,7.452200,7.453300,7.451480,7.451690,7.451690,0
2018-06-25,7.453100,7.453200,7.450400,7.452730,7.452730,0
2018-06-26,7.451500,7.453000,7.449940,7.451590,7.451590,0
2018-06-27,7.450730,7.451500,7.449350,7.450850,7.450850,0
2018-06-28,7.450020,7.451500,7.449070,7.450120,7.450120,0
2018-06-29,7.452530,7.453000,7.449990,7.452420,7.452420,0
2018-07-02,7.450500,7.451300,7.449500,7.450470,7.450470,0
2018-07-03,7.450240,7.452200,7.449680,7.450600,7.450600,0
2018-07-04,7.451100,7.451800,7.448760,7.451030,7.451030,0
2018-07-05,7.450760,7.451700,7.449100,7.450700,7.450700,0
2018-07-06,7.451660,7.453320,7.450260,7.451770,7.451770,0
2018-07-09,7.452640,7.453500,7.451490,7.452600,7.452600,0
2018-07-10,7.453010,7.453800,7.452320,7.452900,7.452900,0
2018-07-11,7.453020,7.454340,7.451430,7.453300,7.453300,0
2018-07-12,7.452970,7.455600,7.452790,7.453500,7.453500,0
2018-07-13,7.454670,7.455700,7.453430,7.454770,7.454770,0
2018-07-16,7.453410,7.454700,7.452670,7.453350,7.453350,0
2018-07-17,7.452840,7.454960,7.452330,7.452770,7.452770,0
2018-07-18,7.453310,7.454500,7.452400,7.453360,7.453360,0
2018-07-19,7.452800,7.453600,7.451220,7.452460,7.452460,0
2018-07-20,7.451460,7.452400,7.450220,7.451350,7.451350,0
2018-07-23,7.452060,7.452700,7.449660,7.452120,7.452120,0
2018-07-24,7.449690,7.450650,7.449440,7.449660,7.449660,0
2018-07-25,7.450130,7.451360,7.449430,7.450290,7.450290,0
2018-07-26,7.450700,7.452200,7.449780,7.450700,7.450700,0
2018-07-27,7.449800,7.451400,7.448040,7.449860,7.449860,0
2018-07-30,7.448430,7.450400,7.447860,7.448490,7.448490,0
2018-07-31,7.448140,7.450370,7.447700,7.447950,7.447950,0
2018-08-01,7.450800,7.451560,7.449750,7.450800,7.450800,0
2018-08-02,7.451330,7.452010,7.450560,7.451270,7.451270,0
2018-08-03,7.452400,7.453200,7.451140,7.452010,7.452010,0
2018-08-06,7.452500,7.453370,7.450910,7.452130,7.452130,0
2018-08-07,7.451700,7.452500,7.450940,7.452200,7.452200,0
2018-08-08,7.452890,7.454400,7.451840,7.452900,7.452900,0
2018-08-09,7.454230,7.456690,7.453610,7.454600,7.454600,0
